StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
145,-115,64,128,161.4198015,770,658.9772508,244.6059807,713,275,1
18,-144,32,64,193.0480196,930,584.471555,186.6677177,601,200,1
151,-28,16,192,84.07950442,1488,812.2721057,606.2727422,822,591,0
-81,145,32,64,208.4817423,1261,471.8348518,450.3898347,495,464,1
-57,153,32,128,259.8118137,959,545.3193598,376.3613519,565,401,1
-10,-133,96,128,208.3688194,822,490.8452213,129.7768856,543,179,1
166,-34,96,128,354.9029472,827,863.2646655,268.6108367,931,307,1
182,8,32,192,227.8691474,974,680.7552589,213.538856,704,225,1
113,-108,32,128,249.9041465,922,696.4315603,125.1166638,706,154,1
123,119,64,64,30.13399602,877,779.5740528,475.1959126,794,505,1
-118,94,16,256,108.0529061,828,449.232033,644.7107865,446,632,0
168,70,16,256,19.50227956,1128,1072.443189,518.4893921,1067,520,0
121,-134,96,64,67.23114143,858,733.9891909,228.0073788,768,267,1
126,67,96,192,25.9226449,844,864.2307743,450.077284,914,491,1
87,113,64,192,22.92820663,1138,895.1012335,525.6421817,914,549,1
15,144,32,64,315.3715496,970,682.714973,444.8483445,696,461,1
128,19,16,128,3.254465183,968,882.3913249,377.9594521,890,389,1
-62,123,16,192,293.0720883,1915,713.7844725,137.4464542,709,148,0
-99,98,96,256,166.9718204,959,257.776628,464.4274637,315,503,1
-165,-38,64,64,234.3659558,977,407.0313785,239.8225776,450,260,1
-70,122,96,64,139.6099945,808,482.7217933,467.4165616,525,517,1
-104,-152,64,128,3.328228613,981,629.9225607,183.322897,652,215,1
27,157,16,64,103.3672493,1315,639.6130811,590.5846,649,594,1
-191,-7,32,128,135.348186,1114,331.9136784,436.8651262,350,447,1
-182,26,96,64,121.3237658,842,382.0633096,383.904879,427,422,1
166,88,96,64,44.46427604,816,795.1064061,436.4189135,835,485,1
67,-128,96,128,293.8730332,817,701.3137114,88.39222214,726,152,1
-150,-79,64,64,304.0331727,1036,494.8180886,194.4830509,529,220,1
67,178,32,128,133.7417445,1202,584.2835373,633.5096315,607,641,1
-149,-47,64,128,38.6496095,824,540.0887754,345.847352,574,374,1
-28,157,64,128,194.1084535,939,463.7627305,455.7849833,502,490,1
114,-94,32,64,207.6363973,956,684.1951491,221.827968,702,236,1
-157,85,32,128,33.5558334,914,564.8492031,493.9021879,577,504,1
16,130,96,256,259.1430671,514,583.2120315,312.7547854,642,377,1
-31,161,64,256,111.1542401,879,496.8291881,696.1833274,534,665,0
31,-142,16,64,231.0868311,1032,622.0352457,159.2556932,632,173,1
147,-5,96,192,228.6656602,788,639.7260274,194.1353058,711,231,1
153,68,16,64,238.1263017,1112,747.3935984,359.5209228,753,373,1
-169,13,64,192,61.52880346,820,513.2078068,477.8377797,544,500,1
110,117,16,192,186.6439746,949,561.7960686,448.0095228,582,457,0
60,160,16,256,110.1273988,829,618.5092725,712.5256735,637,677,0
-33,-140,16,128,213.9051899,922,500.5847545,145.854759,518,159,0
164,-41,96,64,202.9334224,740,712.8569455,252.7459956,753,280,1
-182,-42,96,128,154.8859976,803,317.023656,313.5810135,381,359,1
86,102,96,64,247.0989668,666,661.6756344,375.3567582,707,410,1
51,142,32,256,136.493299,857,514.177197,638.6508927,552,635,0
93,103,96,128,332.1624025,766,772.9655347,368.5472404,826,407,1
-162,-24,96,192,115.277923,811,363.5247255,428.7698919,412,479,1
14,152,64,256,302.745429,669,713.9552643,337.0144596,734,388,1
152,-37,16,128,256.4243715,927,756.185461,199.8141202,758,211,1
120,83,96,128,334.8133776,739,797.664582,354.7137349,836,415,1
-159,62,32,256,193.4144103,942,229.4087654,361.3116314,298,390,0
-76,171,96,256,147.5705416,1255,244.9230871,666.7262084,328,705,1
-185,-9,64,256,197.1803072,1424,77.24241664,223.6003607,145,254,0
-89,107,64,128,322.1751394,1384,659.9040444,337.1056632,681,362,1
-151,78,32,192,268.8228911,1158,468.4492596,212.0238678,483,231,1
152,-56,96,128,352.9125456,1466,929.3321498,244.4568698,986,291,1
-135,42,16,64,82.22786892,1900,513.4638269,526.1251963,525,520,0
119,-146,16,256,16.89280954,1279,1064.192524,312.6122328,1023,299,0
151,86,96,192,189.4283019,704,610.523598,387.5014367,677,433,1
7,141,16,192,75.55180374,1078,691.0959044,706.6939028,697,693,0
-84,-135,32,64,233.7225562,1271,492.1798075,155.3469531,506,187,1
174,-74,96,192,21.86583092,1100,961.1080928,327.7978243,995,358,1
116,-84,64,192,259.3908053,894,692.4424983,87.02351406,730,144,1
