StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-153,107,64,128,66.86183361,745,491.7764047,521.0621715,515,536,1
-149,-90,96,256,334.6543144,666,594.2158443,150.3730265,620,211,1
-147,-28,96,64,174.0319729,679,402.6505005,288.4272197,454,350,1
43,-129,32,192,121.7978236,720,593.4931887,333.5644057,621,333,0
167,-14,64,64,120.3379276,723,751.5633137,354.0462029,780,377,1
-71,-177,64,192,215.8241481,822,411.3194979,60.27581583,448,113,1
38,176,32,64,57.74931111,791,689.1043055,562.9565799,707,579,1
-8,158,32,128,329.5341336,795,704.2492943,450.0879839,705,472,0
165,19,16,192,177.3229964,948,615.4480143,379.4887454,654,386,0
-11,-147,32,128,344.4813393,946,728.1320053,165.0306841,725,182,0
129,-117,16,128,121.3481798,1035,691.7687594,348.6499895,707,343,0
183,34,64,64,281.6370053,684,799.8396174,319.0775029,832,353,1
40,135,16,128,286.6542751,703,697.898832,400.4237324,706,423,0
154,-75,32,192,129.0434728,1244,627.5198226,454.5395222,652,455,0
127,124,64,192,176.6221144,1119,519.5042796,464.7193385,591,494,0
-181,6,32,128,207.1139027,1012,327.7582776,290.9925412,344,311,1
-120,-93,16,192,263.2124442,908,491.5915188,87.5325863,501,123,0
-155,-97,16,256,308.2209593,923,623.0606021,69.52973066,612,107,0
9,167,16,128,112.7523186,776,602.4616934,610.8930022,614,602,0
-26,181,96,64,130.6660763,638,539.4133003,523.9469339,590,568,1
-51,178,96,256,264.3398565,640,525.1366571,329.9432841,585,412,1
169,62,32,64,257.1357711,1103,777.1467136,336.5817892,791,361,1
-129,16,96,128,198.4732659,674,382.0031594,300.9408537,450,357,1
148,-83,96,128,131.8303001,622,686.3030046,288.9929401,742,340,1
-165,-21,32,64,77.78384639,910,471.3207093,379.9078561,486,384,1
-127,142,16,128,290.4209659,879,544.3971593,388.1827656,548,413,0
-108,137,96,64,342.3731154,636,522.6855605,436.7082356,578,481,1
-91,-104,64,256,64.45061336,670,591.4307696,379.7018228,611,380,0
-67,127,96,192,317.0519563,552,601.2021476,368.0694282,639,432,1
